checkout_id,member_id,first_name,last_name,grade,neighborhood,membership_status,book_id,checkout_date,return_date,source,member_total_checkouts,title,author,genre,pages,publication_year,publisher
9263,1047,Sara,Rashad,,Heliopolis,Inactive,517,2024-10-21,2024-11-07,database,16,Shadows on the Corniche,Hani Nagati,Mystery,338,2015.0,Delta House
9340,1072,Seif,Zaki,9.0,Zamalek,Active,513,2025-08-24,2025-09-01,database,14,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9231,1053,Adam,Shafik,9.0,Heliopolis,Active,523,2024-02-04,2024-02-16,database,5,Footsteps in the Dust,Laila Shokry,Historical,276,2018.0,Oasis Books
9129,1032,Nada,Zaki,7.0,Nasr City,Active,513,2025-06-21,2025-06-29,database,6,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9370,1079,Rana,Osman,8.0,Shubra,Active,511,2025-11-11,2025-12-03,database,10,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press
9082,1010,Nour,Nabil,6.0,Maadi,Active,528,2025-11-11,2025-11-18,database,18,The Glass Beehive,Mona Kholoussy,Nature,114,2010.0,Delta House
9238,1057,Ahmed,Fahmy,8.0,Heliopolis,Active,513,2024-03-28,2024-04-08,database,10,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9012,1010,Nour,Nabil,6.0,Maadi,Active,501,2025-02-17,,database,18,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9127,1024,Youssef,Hegazy,8.0,Nasr City,Inactive,506,2025-06-13,,database,17,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press
9020,1016,Dina,Rashad,8.0,Maadi,Active,506,2024-04-15,2024-05-04,database,7,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press
9208,1044,Sherif,Saleh,7.0,Heliopolis,Active,525,2024-07-10,2024-08-01,database,21,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9319,1065,Adam,Fahmy,6.0,Zamalek,Active,515,2025-02-10,2025-02-21,database,18,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers
9097,1018,Ahmed,Shafik,9.0,Maadi,Active,501,2025-10-05,2025-10-14,database,17,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9137,1041,Nada,Rashad,7.0,Nasr City,Active,519,2025-07-27,2025-08-05,database,4,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9157,1032,Nada,Zaki,7.0,Nasr City,Active,525,2024-03-04,2024-04-03,database,6,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9383,1070,Ahmed,Zaki,9.0,Zamalek,Active,501,2024-07-11,2024-07-31,database,3,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9131,1034,Aya,Wahba,9.0,Nasr City,Active,505,2025-12-16,2025-12-25,database,25,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books
9113,1027,Mostafa,Fouad,9.0,Nasr City,Active,507,2024-06-26,2024-07-08,database,18,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9144,1024,Youssef,Hegazy,8.0,Nasr City,Inactive,501,2025-11-07,2025-11-25,database,17,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9005,1008,Ziad,Saleh,8.0,Maadi,Active,513,2025-04-20,2025-04-29,database,19,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9272,1044,Sherif,Saleh,7.0,Heliopolis,Active,518,2025-01-24,2025-02-04,database,21,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House
9283,1072,Seif,Zaki,9.0,Zamalek,Active,513,2025-09-17,2025-09-25,database,14,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9030,1018,Ahmed,Shafik,9.0,Maadi,Active,507,2025-03-09,,database,17,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9291,1065,Adam,Fahmy,6.0,Zamalek,Active,526,2024-03-25,2024-03-31,database,18,The Clockwork Orchard,Mahmoud Rafei,Science Fiction,125,2016.0,Delta House
9369,1076,Dina,Wahba,7.0,Shubra,Active,501,2025-06-05,,database,7,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9225,1059,Lina,Halim,7.0,Heliopolis,Active,516,2025-08-06,2025-08-22,database,7,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press
9256,1059,Lina,Halim,7.0,Heliopolis,Active,521,2025-07-09,,database,7,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers
9234,1053,Adam,Shafik,9.0,Heliopolis,Active,525,2024-02-13,2024-03-06,database,5,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9152,1030,Reem,Osman,,Nasr City,Active,525,2025-01-03,,database,16,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9063,1018,Ahmed,Shafik,9.0,Maadi,Active,515,2024-10-22,,database,17,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers
9161,1040,Dina,Adel,9.0,Nasr City,Active,519,2025-10-11,2025-11-01,database,2,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9206,1050,Fares,Adel,6.0,Heliopolis,Inactive,519,2024-03-17,,database,11,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9031,1020,Rana,Fouad,6.0,Maadi,Active,530,2025-12-28,2026-01-05,database,7,The Sandstone Key,Sara Tantawy,Adventure,208,2012.0,Oasis Books
9189,1032,Nada,Zaki,7.0,Nasr City,Active,507,2025-12-08,2025-12-16,database,6,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9288,1065,Adam,Fahmy,6.0,Zamalek,Active,519,2025-03-20,2025-03-31,database,18,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9236,1052,Retaj,Adel,7.0,Heliopolis,Active,507,2024-09-02,2024-09-29,database,1,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9360,1077,Lina,Rashad,6.0,Shubra,Active,520,2024-03-04,2024-03-16,database,6,The Copper Telescope,Jasmine Wahdan,Science Fiction,136,2009.0,Oasis Books
9111,1027,Mostafa,Fouad,9.0,Nasr City,Active,510,2024-09-12,2024-10-03,database,18,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers
9342,1068,Layla,Hegazy,8.0,Zamalek,Inactive,501,2025-05-28,2025-06-27,database,6,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9380,1022,Youssef,Fouad,7.0,Maadi,Active,513,2024-04-22,2024-04-28,database,7,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9302,1061,Ziad,Fahmy,9.0,Zamalek,Inactive,507,2024-06-22,,database,10,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9173,1027,Mostafa,Fouad,9.0,Nasr City,Active,532,2025-03-10,2025-04-06,database,18,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books
9019,1014,Habiba,Nabil,6.0,Maadi,Active,513,2024-03-06,2024-03-23,database,1,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9143,1024,Youssef,Hegazy,8.0,Nasr City,Inactive,518,2025-10-02,,database,17,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House
9222,1050,Fares,Adel,6.0,Heliopolis,Inactive,505,2024-01-09,2024-02-01,database,11,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books
9101,1020,Rana,Fouad,6.0,Maadi,Active,532,2025-05-25,2025-06-15,database,7,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books
9316,1065,Adam,Fahmy,6.0,Zamalek,Active,513,2024-08-25,2024-09-17,database,18,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9148,1027,Mostafa,Fouad,9.0,Nasr City,Active,532,2025-07-05,2025-07-26,database,18,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books
9070,1018,Ahmed,Shafik,9.0,Maadi,Active,513,2025-01-08,2025-02-01,database,17,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9139,1036,Lina,Zaki,7.0,Nasr City,Active,521,2024-03-14,2024-03-20,database,1,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers
9043,1005,Youssef,Halim,9.0,Maadi,Active,505,2024-01-26,2024-02-04,database,4,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books
9187,1034,Aya,Wahba,9.0,Nasr City,Active,502,2024-08-11,,database,25,Desert Compass,Amina Darwish,Adventure,109,2018.0,Delta House
9269,1054,Retaj,Fahmy,6.0,Heliopolis,Inactive,507,2025-01-26,2025-01-31,database,6,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9056,1010,Nour,Nabil,6.0,Maadi,Active,519,2025-07-11,2025-07-27,database,18,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9057,1020,Rana,Fouad,6.0,Maadi,Active,519,2025-02-03,,database,7,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9140,1034,Aya,Wahba,9.0,Nasr City,Active,513,2025-03-06,2025-04-02,database,25,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9209,1058,Lina,Mansour,8.0,Heliopolis,Active,525,2024-11-22,2024-12-12,database,4,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9249,1057,Ahmed,Fahmy,8.0,Heliopolis,Active,519,2024-10-17,2024-11-03,database,10,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9058,1006,Layla,Mansour,6.0,Maadi,Inactive,501,2025-03-18,2025-04-09,database,1,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9366,1079,Rana,Osman,8.0,Shubra,Active,503,2024-06-23,2024-07-23,database,10,The Lantern Maker,Adel Roushdy,Historical,259,,Nile Press
9218,1044,Sherif,Saleh,7.0,Heliopolis,Active,532,2025-04-23,2025-05-04,database,21,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books
9355,1075,Malak,Fahmy,7.0,Shubra,Active,515,2024-11-10,2024-12-02,database,9,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers
9205,1053,Adam,Shafik,9.0,Heliopolis,Active,525,2024-12-02,2024-12-14,database,5,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9025,1001,Salma,Ibrahim,8.0,Maadi,Active,525,2024-10-24,2024-11-07,database,1,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9124,1024,Youssef,Hegazy,8.0,Nasr City,Inactive,525,2025-10-14,2025-11-13,database,17,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9034,1015,Hamza,Sabry,7.0,Maadi,Inactive,511,2025-10-13,,database,3,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press
9181,1041,Nada,Rashad,7.0,Nasr City,Active,509,2025-03-24,,database,4,Marbles and Mirrors,Diaa Sultan,Mystery,221,2011.0,Nile Press
9171,1027,Mostafa,Fouad,9.0,Nasr City,Active,507,2025-05-23,2025-06-19,database,18,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9318,1067,Aya,Ibrahim,7.0,Zamalek,Inactive,513,2025-07-23,2025-08-17,database,3,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9296,1065,Adam,Fahmy,6.0,Zamalek,Active,501,2024-12-15,2025-01-11,database,18,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9348,1075,Malak,Fahmy,7.0,Shubra,Active,532,2024-07-28,2024-08-25,database,9,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books
9141,1027,Mostafa,Fouad,9.0,Nasr City,Active,529,2025-02-09,2025-03-03,database,18,Riddles of the Red Sea,Sara Tantawy,Mystery,298,,Cairo Young Readers
9094,1022,Youssef,Fouad,7.0,Maadi,Active,527,2024-11-22,2024-12-08,database,7,Notes from the Delta,Mona Kholoussy,Nature,328,2017.0,Delta House
9280,1054,Retaj,Fahmy,6.0,Heliopolis,Inactive,517,2024-09-06,2024-09-15,database,6,Shadows on the Corniche,Hani Nagati,Mystery,338,2015.0,Delta House
9211,1044,Sherif,Saleh,7.0,Heliopolis,Active,507,2025-04-28,2025-05-25,database,21,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9294,1067,Aya,Ibrahim,7.0,Zamalek,Inactive,507,2024-11-26,,database,3,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9372,1076,Dina,Wahba,7.0,Shubra,Active,519,2025-03-06,2025-04-02,database,7,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9112,1031,Ali,Fahmy,8.0,Nasr City,Active,521,2024-07-28,2024-08-22,database,1,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers
9001,1008,Ziad,Saleh,8.0,Maadi,Active,501,2025-08-23,2025-08-28,database,19,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9328,1070,Ahmed,Zaki,9.0,Zamalek,Active,501,2024-01-28,,database,3,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9075,1018,Ahmed,Shafik,9.0,Maadi,Active,510,2024-07-01,,database,17,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers
9149,1032,Nada,Zaki,7.0,Nasr City,Active,507,2025-02-09,2025-02-18,database,6,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9165,1030,Reem,Osman,,Nasr City,Active,519,2025-03-27,2025-04-02,database,16,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9255,1044,Sherif,Saleh,7.0,Heliopolis,Active,509,2025-05-24,2025-06-13,database,21,Marbles and Mirrors,Diaa Sultan,Mystery,221,2011.0,Nile Press
9304,1068,Layla,Hegazy,8.0,Zamalek,Inactive,519,2024-04-16,2024-05-09,database,6,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9322,1061,Ziad,Fahmy,9.0,Zamalek,Inactive,510,2025-10-20,2025-11-15,database,10,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers
9317,1061,Ziad,Fahmy,9.0,Zamalek,Inactive,507,2024-01-26,2024-02-09,database,10,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9271,1044,Sherif,Saleh,7.0,Heliopolis,Active,513,2025-04-26,2025-05-06,database,21,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
